Protein,Protein ID,Entry Name,Gene,CTRL-1,CTRL-2,CTRL-3,PTX3-1,PTX3-2,PTX3-3,mean c,mean ptx3,FC,log2FC,P.value,Sig
sp|P29083|T2EA_HUMAN,P29083,T2EA_HUMAN,GTF2E1,0.076232087,0.076611427,0.000253648,0.000258488,0.000256791,0.000264092,0.051032387,0.00025979,0.005090695,-7.617921574,0.116151071,not significant
sp|P29084|T2EB_HUMAN,P29084,T2EB_HUMAN,GTF2E2,0.224099141,0.27013209,0.000253648,0.221014873,0.211655868,0.040171406,0.164828293,0.157614049,0.956231762,-0.064567769,0.947007475,not significant
sp|P29144|TPP2_HUMAN,P29144,TPP2_HUMAN,TPP2,4.671369643,5.594160235,4.454730266,4.183980636,2.516467916,5.3434028,4.906753381,4.014617117,0.818181964,-0.28950636,0.373704094,not significant
sp|P29218|IMPA1_HUMAN,P29218,IMPA1_HUMAN,IMPA1,3.318269013,5.280743548,3.960074268,4.906994906,4.054870187,4.666935468,4.186362276,4.54293352,1.085174483,0.11792703,0.602173074,not significant
sp|P29317|EPHA2_HUMAN,P29317,EPHA2_HUMAN,EPHA2,6.907671093,5.836357121,7.376419917,4.113926834,1.667135209,2.593610435,6.706816044,2.791557493,0.416226936,-1.264557763,0.009839208,down
sp|P29353|SHC1_HUMAN,P29353,SHC1_HUMAN,SHC1,10.93257886,7.853248729,6.071088956,8.297694118,8.634637751,10.76357261,8.285638848,9.23196816,1.114213198,0.15602531,0.589639307,not significant
sp|P29401|TKT_HUMAN,P29401,TKT_HUMAN,TKT,86.08298357,131.0866362,139.9412396,107.7477036,101.7039026,160.3341839,119.0369531,123.26193,1.035492986,0.050317781,0.873965043,not significant
sp|P29558|RBMS1_HUMAN,P29558,RBMS1_HUMAN,RBMS1,0.98491673,0.597505462,0.871441545,0.775725271,1.623422257,0.909558262,0.817954579,1.10290193,1.348365739,0.431211875,0.377194715,not significant
sp|P29590|PML_HUMAN,P29590,PML_HUMAN,PML,0.644677502,0.617235061,2.204532444,0.604955188,0.704297107,0.220403747,1.155481669,0.509885347,0.44127515,-1.180249588,0.301714183,not significant
sp|P29692|EF1D_HUMAN,P29692,EF1D_HUMAN,EEF1D,189.4488634,182.7134488,152.5324663,196.1738164,199.0094204,210.8970616,174.8982595,202.0267661,1.155110215,0.208030513,0.09049891,not significant
sp|P29966|MARCS_HUMAN,P29966,MARCS_HUMAN,MARCKS,106.9765161,83.87337205,91.86943931,112.9738228,136.7478137,127.3397944,94.23977582,125.6871436,1.333695274,0.415429074,0.031396374,not significant
sp|P29992|GNA11_HUMAN,P29992,GNA11_HUMAN,GNA11,0.128403176,0.172817135,0.088116121,0.000258488,0.000256791,0.124946556,0.129778811,0.041820612,0.322245299,-1.633768782,0.142239457,not significant
sp|P30038|AL4A1_HUMAN,P30038,AL4A1_HUMAN,ALDH4A1,1.883401012,1.798590438,1.992876297,2.388081878,1.543473222,1.119732322,1.891622582,1.683762474,0.890115444,-0.167935636,0.610756925,not significant
sp|P30040|ERP29_HUMAN,P30040,ERP29_HUMAN,ERP29,33.2810696,26.94009961,26.86771725,33.59132491,42.48353189,24.47416029,29.02962882,33.51633903,1.154556238,0.207338447,0.469148882,not significant
sp|P30041|PRDX6_HUMAN,P30041,PRDX6_HUMAN,PRDX6,119.6322969,121.2161864,103.6642579,137.3962273,138.6336755,129.8845693,114.8375804,135.304824,1.178227751,0.236618438,0.030445755,not significant
sp|P30043|BLVRB_HUMAN,P30043,BLVRB_HUMAN,BLVRB,14.22925119,14.56313217,11.64717791,27.88212356,28.58079079,15.92237949,13.47985376,24.12843128,1.789962392,0.839929276,0.064710949,not significant
sp|P30044|PRDX5_HUMAN,P30044,PRDX5_HUMAN,PRDX5,115.4354303,109.1979945,90.95678573,110.9441251,121.085278,102.2054426,105.1967368,111.4116152,1.059078623,0.082809695,0.534204027,not significant
sp|P30046|DOPD_HUMAN,P30046,DOPD_HUMAN,DDT,36.42675769,36.75415599,29.85463034,44.32739352,49.19050036,37.41239294,34.34518134,43.64342894,1.27072932,0.345656753,0.085401335,not significant
sp|P30047|GFRP_HUMAN,P30047,GFRP_HUMAN,GCHFR,0.808388598,0.771537912,1.203660993,1.298234813,1.315499124,1.451291839,0.927862501,1.355008592,1.460354945,0.546319065,0.043459173,not significant
sp|P30048|PRDX3_HUMAN,P30048,PRDX3_HUMAN,PRDX3,61.70960145,58.77566696,63.7570323,63.3195055,61.50342718,56.82174584,61.41410024,60.54822617,0.985901054,-0.020485231,0.738145792,not significant
sp|P30049|ATPD_HUMAN,P30049,ATPD_HUMAN,ATP5F1D,20.59262837,16.44753444,21.68234646,22.59700589,28.69762426,26.30260655,19.57416976,25.86574557,1.321422359,0.402091661,0.057756476,not significant
sp|P30050|RL12_HUMAN,P30050,RL12_HUMAN,RPL12,25.63542947,25.41165133,38.22603865,31.13032131,26.80393083,38.41862006,29.75770648,32.11762407,1.079304418,0.110101834,0.685934659,not significant
sp|P30084|ECHM_HUMAN,P30084,ECHM_HUMAN,ECHS1,20.73251247,22.83522557,21.61825681,18.90575346,21.05368469,20.34057546,21.72866495,20.10000454,0.925045537,-0.112403708,0.137111737,not significant
sp|P30085|KCY_HUMAN,P30085,KCY_HUMAN,CMPK1,29.09678488,29.63132635,21.3796596,31.4781731,30.39377434,36.52556165,26.70259028,32.7991697,1.228314158,0.296679597,0.135486103,not significant
sp|P30086|PEBP1_HUMAN,P30086,PEBP1_HUMAN,PEBP1,129.6696872,128.8591575,117.7850236,149.2195421,167.8545602,143.6740484,125.4379561,153.5827169,1.224371966,0.292041917,0.027064006,not significant
sp|P30101|PDIA3_HUMAN,P30101,PDIA3_HUMAN,PDIA3,298.1635215,299.8827999,280.7545837,333.0488343,353.0283377,322.5052849,292.933635,336.1941523,1.147680266,0.198720776,0.016238696,not significant
sp|P30153|2AAA_HUMAN,P30153,2AAA_HUMAN,PPP2R1A,59.20102899,142.4874884,59.68107949,70.32189588,73.51841422,69.55710387,87.12319896,71.13247132,0.816458442,-0.29254864,0.594799685,not significant
sp|P30154|2AAB_HUMAN,P30154,2AAB_HUMAN,PPP2R1B,0.701044563,0.866785134,0.788492524,0.874131458,0.836978364,0.891512346,0.78544074,0.867540723,1.104527278,0.143429048,0.17932624,not significant
sp|P30260|CDC27_HUMAN,P30260,CDC27_HUMAN,CDC27,0.000249487,0.000241214,0.000253648,0.000258488,0.000256791,0.000264092,0.000248116,0.00025979,1.04705051,0.06633104,0.052175215,not significant
